s t demand
hl_0 hl_1 109
hl_0 hl_2 947
hl_0 hl_3 1413
hl_0 hl_4 143
hl_0 hl_5 110
hl_0 hl_6 267
hl_0 hl_7 1696
hl_0 hl_8 132
hl_0 hl_9 720
hl_0 hl_10 525
hl_0 hl_11 302
hl_0 hl_12 53
hl_0 hl_13 37
hl_0 hl_14 2002
hl_0 hl_15 14
hl_0 hl_16 212
hl_1 hl_0 0
hl_1 hl_2 78
hl_1 hl_3 85
hl_1 hl_4 34
hl_1 hl_5 15
hl_1 hl_6 68
hl_1 hl_7 78
hl_1 hl_8 2
hl_1 hl_9 60
hl_1 hl_10 32
hl_1 hl_11 23
hl_1 hl_12 13
hl_1 hl_13 20
hl_1 hl_14 179
hl_1 hl_15 1
hl_1 hl_16 49
hl_2 hl_0 79
hl_2 hl_1 97
hl_2 hl_3 247
hl_2 hl_4 68
hl_2 hl_5 60
hl_2 hl_6 153
hl_2 hl_7 27
hl_2 hl_8 16
hl_2 hl_9 201
hl_2 hl_10 131
hl_2 hl_11 173
hl_2 hl_12 3
hl_2 hl_13 93
hl_2 hl_14 339
hl_2 hl_15 4
hl_2 hl_16 71
hl_3 hl_0 30
hl_3 hl_1 48
hl_3 hl_2 82
hl_3 hl_4 74
hl_3 hl_5 17
hl_3 hl_6 33
hl_3 hl_7 189
hl_3 hl_8 5
hl_3 hl_9 80
hl_3 hl_10 17
hl_3 hl_11 51
hl_3 hl_12 133
hl_3 hl_13 34
hl_3 hl_14 122
hl_3 hl_15 3
hl_3 hl_16 16
hl_4 hl_0 499
hl_4 hl_1 453
hl_4 hl_2 782
hl_4 hl_3 508
hl_4 hl_5 350
hl_4 hl_6 252
hl_4 hl_7 1740
hl_4 hl_8 211
hl_4 hl_9 1072
hl_4 hl_10 695
hl_4 hl_11 662
hl_4 hl_12 1552
hl_4 hl_13 1054
hl_4 hl_14 1258
hl_4 hl_15 22
hl_4 hl_16 547
hl_5 hl_0 131
hl_5 hl_1 59
hl_5 hl_2 158
hl_5 hl_3 434
hl_5 hl_4 294
hl_5 hl_6 159
hl_5 hl_7 554
hl_5 hl_8 19
hl_5 hl_9 157
hl_5 hl_10 40
hl_5 hl_11 161
hl_5 hl_12 381
hl_5 hl_13 280
hl_5 hl_14 197
hl_5 hl_15 5
hl_5 hl_16 45
hl_6 hl_0 4
hl_6 hl_1 5
