s t demand
h_0 h_1 351
h_0 h_2 623
h_0 h_3 791
h_0 h_4 706
h_0 h_5 296
h_0 h_6 464
h_0 h_7 1317
h_0 h_8 140
h_0 h_9 603
h_0 h_10 398
h_0 h_11 402
h_0 h_12 989
h_0 h_13 544
h_0 h_14 1164
h_0 h_15 22
h_0 h_16 325
h_1 h_0 19
h_1 h_2 50
h_1 h_3 64
h_1 h_4 57
h_1 h_5 24
h_1 h_6 37
h_1 h_7 107
h_1 h_8 11
h_1 h_9 49
h_1 h_10 32
h_1 h_11 32
h_1 h_12 80
h_1 h_13 44
h_1 h_14 94
h_1 h_15 2
h_1 h_16 26
h_2 h_0 64
h_2 h_1 92
h_2 h_3 208
h_2 h_4 186
h_2 h_5 78
h_2 h_6 122
h_2 h_7 347
h_2 h_8 37
h_2 h_9 159
h_2 h_10 105
h_2 h_11 106
h_2 h_12 261
h_2 h_13 143
h_2 h_14 307
h_2 h_15 5
h_2 h_16 86
h_3 h_0 19
h_3 h_1 27
h_3 h_2 48
h_3 h_4 55
h_3 h_5 23
h_3 h_6 36
h_3 h_7 102
h_3 h_8 10
h_3 h_9 47
h_3 h_10 31
h_3 h_11 31
h_3 h_12 77
h_3 h_13 42
h_3 h_14 90
h_3 h_15 2
h_3 h_16 25
h_4 h_0 251
h_4 h_1 362
h_4 h_2 641
h_4 h_3 814
h_4 h_5 305
h_4 h_6 478
h_4 h_7 1357
h_4 h_8 144
h_4 h_9 621
h_4 h_10 410
h_4 h_11 414
h_4 h_12 1018
h_4 h_13 560
h_4 h_14 1199
h_4 h_15 23
h_4 h_16 335
h_5 h_0 69
h_5 h_1 100
h_5 h_2 178
h_5 h_3 226
h_5 h_4 202
h_5 h_6 132
h_5 h_7 377
h_5 h_8 40
h_5 h_9 172
h_5 h_10 114
h_5 h_11 115
h_5 h_12 283
h_5 h_13 155
h_5 h_14 333
h_5 h_15 6
h_5 h_16 93
h_6 h_0 5
h_6 h_1 8
h_6 h_2 14
h_6 h_3 18
h_6 h_4 16
h_6 h_5 6
h_6 h_7 30
h_6 h_8 3
h_6 h_9 14
h_6 h_10 9
h_6 h_11 9
h_6 h_12 23
h_6 h_13 12
h_6 h_14 27
h_6 h_15 0
h_6 h_16 7
h_7 h_0 56
h_7 h_1 81
h_7 h_2 144
h_7 h_3 183
h_7 h_4 163
h_7 h_5 68
h_7 h_6 107
h_7 h_8 32
h_7 h_9 139
h_7 h_10 92
h_7 h_11 93
h_7 h_12 228
h_7 h_13 125
h_7 h_14 269
h_7 h_15 5
h_7 h_16 75
h_8 h_0 68
h_8 h_1 98
h_8 h_2 175
h_8 h_3 222
h_8 h_4 198
h_8 h_5 83
h_8 h_6 130
h_8 h_7 370
h_8 h_9 169
h_8 h_10 111
h_8 h_11 113
h_8 h_12 277
h_8 h_13 152
h_8 h_14 327
h_8 h_15 6
h_8 h_16 91
h_9 h_0 113
h_9 h_1 163
h_9 h_2 290
h_9 h_3 368
h_9 h_4 329
h_9 h_5 138
h_9 h_6 216
h_9 h_7 613
h_9 h_8 65
h_9 h_10 185
h_9 h_11 187
h_9 h_12 460
h_9 h_13 253
h_9 h_14 542
h_9 h_15 10
h_9 h_16 151
h_10 h_0 129
h_10 h_1 186
h_10 h_2 330
h_10 h_3 419
h_10 h_4 374
h_10 h_5 157
h_10 h_6 246
h_10 h_7 699
h_10 h_8 74
h_10 h_9 320
h_10 h_11 213
h_10 h_12 524
h_10 h_13 288
h_10 h_14 617
h_10 h_15 12
h_10 h_16 172
h_11 h_0 14
h_11 h_1 20
h_11 h_2 36
h_11 h_3 46
h_11 h_4 41
h_11 h_5 17
h_11 h_6 27
h_11 h_7 76
h_11 h_8 8
h_11 h_9 35
h_11 h_10 23
h_11 h_12 57
h_11 h_13 31
h_11 h_14 67
h_11 h_15 2
h_11 h_16 19
h_12 h_0 220
h_12 h_1 317
h_12 h_2 561
h_12 h_3 713
h_12 h_4 637
h_12 h_5 267
h_12 h_6 418
h_12 h_7 1188
h_12 h_8 126
h_12 h_9 544
h_12 h_10 359
h_12 h_11 362
h_12 h_13 490
h_12 h_14 1050
h_12 h_15 20
h_12 h_16 293
h_13 h_0 118
h_13 h_1 170
h_13 h_2 301
h_13 h_3 383
h_13 h_4 342
h_13 h_5 143
h_13 h_6 224
h_13 h_7 638
h_13 h_8 67
h_13 h_9 292
h_13 h_10 193
h_13 h_11 194
h_13 h_12 479
h_13 h_14 564
h_13 h_15 10
h_13 h_16 157
h_14 h_0 84
h_14 h_1 122
h_14 h_2 216
h_14 h_3 275
h_14 h_4 245
h_14 h_5 103
h_14 h_6 161
h_14 h_7 458
h_14 h_8 48
h_14 h_9 210
h_14 h_10 138
h_14 h_11 139
h_14 h_12 344
h_14 h_13 189
h_14 h_15 7
h_14 h_16 113
h_15 h_0 58
h_15 h_1 83
h_15 h_2 148
h_15 h_3 188
h_15 h_4 168
h_15 h_5 70
h_15 h_6 110
h_15 h_7 314
h_15 h_8 33
h_15 h_9 144
h_15 h_10 95
h_15 h_11 96
h_15 h_12 236
h_15 h_13 129
h_15 h_14 277
h_15 h_16 77
h_16 h_0 21
h_16 h_1 31
h_16 h_2 55
h_16 h_3 70
h_16 h_4 62
h_16 h_5 26
h_16 h_6 41
h_16 h_7 117
h_16 h_8 12
h_16 h_9 53
h_16 h_10 35
h_16 h_11 35
h_16 h_12 88
h_16 h_13 48
h_16 h_14 103
h_16 h_15 2
