tunnel_num s t prio weight
324 0 1 l 16
325 0 1 l 16
326 0 1 l 16
327 0 1 l 16
328 0 1 l 16
329 0 1 l 16
324 0 1 h 100
822 0 2 l 100
822 0 2 h 100
1344 0 3 l 100
1344 0 3 h 100
175 0 4 l 100
175 0 4 h 100
687 0 5 l 50
688 0 5 l 50
685 0 5 h 100
1194 0 6 l 100
1194 0 6 h 50
1195 0 6 h 50
42 0 7 l 100
42 0 7 h 100
704 0 8 l 20
705 0 8 l 17
706 0 8 l 20
707 0 8 l 20
703 0 8 l 20
704 0 8 h 33
702 0 8 h 33
703 0 8 h 33
1216 0 9 l 20
1217 0 9 l 20
1212 0 9 l 20
1214 0 9 l 20
1215 0 9 l 20
1212 0 9 h 100
64 0 10 l 25
61 0 10 l 25
62 0 10 l 25
63 0 10 l 25
61 0 10 h 100
579 0 11 l 100
576 0 11 h 33
577 0 11 h 33
578 0 11 h 33
1069 0 12 l 50
1073 0 12 l 50
1068 0 12 h 20
1069 0 12 h 79
1560 0 13 l 33
1562 0 13 l 33
1563 0 13 l 33
1560 0 13 h 100
426 0 14 l 33
429 0 14 l 33
430 0 14 l 33
426 0 14 h 81
427 0 14 h 18
930 0 15 l 25
931 0 15 l 25
933 0 15 l 25
935 0 15 l 25
930 0 15 h 33
931 0 15 h 33
932 0 15 h 33
1314 0 16 l 100
1314 0 16 h 100
697 1 0 l 25
698 1 0 l 25
699 1 0 l 25
701 1 0 l 25
696 1 0 h 33
697 1 0 h 33
698 1 0 h 33
1362 1 2 l 16
1363 1 2 l 16
1364 1 2 l 16
1365 1 2 l 16
1366 1 2 l 16
1367 1 2 l 16
1363 1 2 h 50
1364 1 2 h 50
834 1 3 l 16
835 1 3 l 16
836 1 3 l 16
837 1 3 l 16
838 1 3 l 16
839 1 3 l 16
834 1 3 h 33
835 1 3 h 33
836 1 3 h 33
1062 1 4 l 16
1063 1 4 l 16
1064 1 4 l 16
1065 1 4 l 16
1066 1 4 l 16
1067 1 4 l 16
1064 1 4 h 50
1063 1 4 h 50
570 1 5 l 25
573 1 5 l 25
574 1 5 l 25
575 1 5 l 25
570 1 5 h 33
571 1 5 h 33
572 1 5 h 33
54 1 6 l 16
55 1 6 l 16
56 1 6 l 16
57 1 6 l 16
58 1 6 l 16
59 1 6 l 16
56 1 6 h 33
54 1 6 h 33
55 1 6 h 33
1208 1 7 l 100
1206 1 7 h 50
1207 1 7 h 50
1578 1 8 l 16
1579 1 8 l 16
1580 1 8 l 16
1581 1 8 l 16
1582 1 8 l 16
1583 1 8 l 16
1578 1 8 h 50
1579 1 8 h 50
1088 1 9 l 16
1089 1 9 l 16
1090 1 9 l 16
1091 1 9 l 16
1086 1 9 l 16
1087 1 9 l 16
1086 1 9 h 100
588 1 10 l 20
589 1 10 l 20
590 1 10 l 20
591 1 10 l 20
593 1 10 l 20
588 1 10 h 33
589 1 10 h 33
590 1 10 h 33
78 1 11 l 16
79 1 11 l 16
80 1 11 l 16
81 1 11 l 16
82 1 11 l 16
83 1 11 l 16
80 1 11 h 33
78 1 11 h 33
79 1 11 h 33
337 1 12 l 100
336 1 12 h 33
337 1 12 h 33
338 1 12 h 33
1464 1 13 l 16
1465 1 13 l 16
1466 1 13 l 16
1467 1 13 l 16
1468 1 13 l 16
1469 1 13 l 16
1464 1 13 h 33
1465 1 13 h 33
1466 1 13 h 33
942 1 14 l 16
943 1 14 l 16
944 1 14 l 16
945 1 14 l 16
946 1 14 l 16
947 1 14 l 16
942 1 14 h 100
448 1 15 l 16
449 1 15 l 16
444 1 15 l 16
445 1 15 l 16
446 1 15 l 16
447 1 15 l 16
444 1 15 h 33
445 1 15 h 33
446 1 15 h 33
546 1 16 l 20
548 1 16 l 20
549 1 16 l 20
550 1 16 l 20
551 1 16 l 20
546 1 16 h 33
547 1 16 h 33
548 1 16 h 33
1572 2 0 l 25
1574 2 0 l 25
1575 2 0 l 25
1577 2 0 l 25
1572 2 0 h 33
1573 2 0 h 33
1574 2 0 h 33
438 2 1 l 20
439 2 1 l 20
440 2 1 l 20
441 2 1 l 20
443 2 1 l 20
440 2 1 h 50
438 2 1 h 50
1080 2 3 l 43
1081 2 3 l 43
1084 2 3 l 12
1080 2 3 h 50
1081 2 3 h 50
1230 2 4 l 16
1231 2 4 l 16
1232 2 4 l 16
1233 2 4 l 16
1234 2 4 l 16
1235 2 4 l 16
1232 2 4 h 50
1230 2 4 h 50
72 2 5 l 25
73 2 5 l 25
75 2 5 l 25
77 2 5 l 25
72 2 5 h 50
74 2 5 h 50
207 2 6 l 100
204 2 6 h 50
206 2 6 h 50
720 2 7 l 33
722 2 7 l 33
723 2 7 l 33
720 2 7 h 100
858 2 8 l 16
859 2 8 l 16
860 2 8 l 16
861 2 8 l 16
862 2 8 l 16
863 2 8 l 16
858 2 8 h 33
859 2 8 h 33
860 2 8 h 33
1380 2 9 l 16
1381 2 9 l 16
1382 2 9 l 16
1383 2 9 l 16
1384 2 9 l 16
1385 2 9 l 16
1380 2 9 h 50
1382 2 9 h 50
1488 2 10 l 25
1489 2 10 l 25
1492 2 10 l 25
1493 2 10 l 25
1488 2 10 h 50
1489 2 10 h 50
360 2 11 l 33
361 2 11 l 33
362 2 11 l 33
360 2 11 h 50
361 2 11 h 50
462 2 12 l 33
463 2 12 l 33
467 2 12 l 33
462 2 12 h 50
463 2 12 h 50
962 2 13 l 100
960 2 13 h 33
961 2 13 h 33
962 2 13 h 33
1104 2 14 l 100
1106 2 14 h 100
1602 2 15 l 16
1603 2 15 l 16
1604 2 15 l 16
1605 2 15 l 16
1606 2 15 l 16
1607 2 15 l 16
1602 2 15 h 33
1603 2 15 h 33
1604 2 15 h 33
1452 2 16 l 33
1453 2 16 l 33
1455 2 16 l 33
1452 2 16 h 33
1453 2 16 h 33
1454 2 16 h 33
852 3 0 l 16
853 3 0 l 16
854 3 0 l 16
855 3 0 l 16
856 3 0 l 16
857 3 0 l 16
852 3 0 h 33
853 3 0 h 33
854 3 0 h 33
356 3 1 l 33
357 3 1 l 33
358 3 1 l 33
354 3 1 h 50
356 3 1 h 50
198 3 2 l 16
199 3 2 l 16
200 3 2 l 16
201 3 2 l 16
202 3 2 l 16
203 3 2 l 16
198 3 2 h 50
199 3 2 h 50
1224 3 4 l 25
1225 3 4 l 25
1226 3 4 l 25
1228 3 4 l 25
1224 3 4 h 33
1225 3 4 h 33
1226 3 4 h 33
714 3 5 l 20
715 3 5 l 20
716 3 5 l 20
717 3 5 l 20
718 3 5 l 20
714 3 5 h 33
715 3 5 h 33
716 3 5 h 33
582 3 6 l 16
583 3 6 l 16
584 3 6 l 16
585 3 6 l 16
586 3 6 l 16
587 3 6 l 16
584 3 6 h 33
582 3 6 h 33
583 3 6 h 33
68 3 7 l 33
69 3 7 l 33
70 3 7 l 33
66 3 7 h 33
67 3 7 h 33
68 3 7 h 33
1569 3 8 l 100
1568 3 8 h 33
1566 3 8 h 33
1567 3 8 h 33
1074 3 9 l 20
1075 3 9 l 20
1076 3 9 l 20
1077 3 9 l 20
1078 3 9 l 20
1074 3 9 h 33
1075 3 9 h 33
1076 3 9 h 33
936 3 10 l 25
939 3 10 l 25
940 3 10 l 25
941 3 10 l 25
936 3 10 h 50
