tunnel_num s t prio weight
328 0 1 l 100
326 0 1 h 100
822 0 2 l 100
822 0 2 h 100
1344 0 3 l 100
1344 0 3 h 100
177 0 4 l 100
174 0 4 h 100
686 0 5 l 100
684 0 5 h 100
1199 0 6 l 100
1194 0 6 h 100
42 0 7 l 100
42 0 7 h 100
704 0 8 l 40
705 0 8 l 41
707 0 8 l 17
704 0 8 h 33
702 0 8 h 33
703 0 8 h 33
1216 0 9 l 8
1212 0 9 l 91
1212 0 9 h 100
61 0 10 l 100
60 0 10 h 33
61 0 10 h 33
62 0 10 h 33
581 0 11 l 100
576 0 11 h 70
578 0 11 h 29
1068 0 12 l 25
1070 0 12 l 25
1071 0 12 l 25
1072 0 12 l 25
1068 0 12 h 48
1069 0 12 h 51
1560 0 13 l 100
1562 0 13 h 100
428 0 14 l 100
428 0 14 h 100
930 0 15 l 16
931 0 15 l 16
932 0 15 l 16
933 0 15 l 16
934 0 15 l 16
935 0 15 l 16
930 0 15 h 33
931 0 15 h 33
932 0 15 h 33
1316 0 16 l 100
1314 0 16 h 50
1315 0 16 h 50
696 1 0 l 16
697 1 0 l 16
698 1 0 l 16
699 1 0 l 16
700 1 0 l 16
701 1 0 l 16
698 1 0 h 100
1362 1 2 l 100
1362 1 2 h 33
1363 1 2 h 33
1364 1 2 h 33
839 1 3 l 100
835 1 3 h 50
836 1 3 h 50
1062 1 4 l 16
1063 1 4 l 16
1064 1 4 l 16
1065 1 4 l 16
1066 1 4 l 16
1067 1 4 l 16
1062 1 4 h 50
1063 1 4 h 50
570 1 5 l 16
571 1 5 l 16
572 1 5 l 16
573 1 5 l 16
574 1 5 l 16
575 1 5 l 16
570 1 5 h 50
571 1 5 h 50
54 1 6 l 33
55 1 6 l 33
57 1 6 l 33
56 1 6 h 33
54 1 6 h 33
55 1 6 h 33
1210 1 7 l 100
1208 1 7 h 100
1578 1 8 l 16
1579 1 8 l 16
1580 1 8 l 16
1581 1 8 l 16
1582 1 8 l 16
1583 1 8 l 16
1578 1 8 h 33
1579 1 8 h 33
1580 1 8 h 33
1088 1 9 l 50
1087 1 9 l 50
1088 1 9 h 33
1086 1 9 h 33
1087 1 9 h 33
588 1 10 l 20
589 1 10 l 20
590 1 10 l 20
591 1 10 l 20
593 1 10 l 20
588 1 10 h 33
