tunnel_num s t weight
162 0 1 100
411 0 2 78
413 0 2 21
672 0 3 65
674 0 3 34
89 0 4 100
344 0 5 33
342 0 5 33
343 0 5 33
598 0 6 13
599 0 6 86
21 0 7 78
23 0 7 21
352 0 8 33
353 0 8 33
351 0 8 33
608 0 9 50
606 0 9 50
32 0 10 100
290 0 11 100
534 0 12 52
535 0 12 47
782 0 13 100
214 0 14 100
465 0 15 33
466 0 15 33
467 0 15 33
659 0 16 100
349 1 0 50
350 1 0 50
681 1 2 50
682 1 2 50
417 1 3 33
418 1 3 33
419 1 3 33
531 1 4 33
532 1 4 33
533 1 4 33
285 1 5 33
286 1 5 33
287 1 5 33
27 1 6 33
28 1 6 33
29 1 6 33
604 1 7 50
605 1 7 50
789 1 8 33
790 1 8 33
791 1 8 33
544 1 9 33
545 1 9 33
543 1 9 33
296 1 10 33
294 1 10 33
295 1 10 33
40 1 11 33
41 1 11 33
39 1 11 33
168 1 12 33
169 1 12 33
170 1 12 33
732 1 13 50
733 1 13 50
472 1 14 33
473 1 14 33
471 1 14 33
224 1 15 33
222 1 15 33
223 1 15 33
273 1 16 33
274 1 16 33
275 1 16 33
786 2 0 50
788 2 0 50
220 2 1 50
221 2 1 50
540 2 3 50
542 2 3 50
615 2 4 100
36 2 5 50
38 2 5 50
104 2 6 33
102 2 6 33
103 2 6 33
360 2 7 33
361 2 7 33
362 2 7 33
429 2 8 33
430 2 8 33
431 2 8 33
690 2 9 50
692 2 9 50
744 2 10 33
745 2 10 33
746 2 10 33
180 2 11 33
181 2 11 33
182 2 11 33
232 2 12 100
480 2 13 50
482 2 13 50
553 2 14 50
554 2 14 50
801 2 15 33
802 2 15 33
803 2 15 33
728 2 16 33
726 2 16 33
727 2 16 33
426 3 0 33
427 3 0 33
428 3 0 33
177 3 1 33
178 3 1 33
179 3 1 33
99 3 2 33
100 3 2 33
101 3 2 33
612 3 4 33
613 3 4 33
614 3 4 33
357 3 5 33
358 3 5 33
359 3 5 33
291 3 6 50
292 3 6 50
33 3 7 33
34 3 7 33
35 3 7 33
784 3 8 33
785 3 8 33
783 3 8 33
537 3 9 50
539 3 9 50
468 3 10 33
469 3 10 33
470 3 10 33
216 3 11 50
217 3 11 50
165 3 12 50
166 3 12 50
729 3 13 33
730 3 13 33
731 3 13 33
680 3 14 33
678 3 14 33
679 3 14 33
416 3 15 33
414 3 15 33
415 3 15 33
489 3 16 33
490 3 16 33
491 3 16 33
50 4 0 100
301 4 1 100
550 4 2 100
795 4 3 100
114 4 5 50
116 4 5 50
372 4 6 50
374 4 6 50
629 4 7 100
424 4 8 33
425 4 8 33
423 4 8 33
688 4 9 100
96 4 10 50
97 4 10 50
354 4 11 50
355 4 11 50
229 4 12 5
230 4 12 94
477 4 13 50
478 4 13 50
741 4 14 81
743 4 14 18
176 4 15 33
174 4 15 33
175 4 15 33
128 4 16 50
126 4 16 50
488 5 0 50
486 5 0 50
243 5 1 33
244 5 1 33
245 5 1 33
808 5 2 50
809 5 2 50
561 5 3 33
562 5 3 33
563 5 3 33
312 5 4 33
313 5 4 33
314 5 4 33
640 5 6 33
641 5 6 33
639 5 6 33
384 5 7 50
386 5 7 50
45 5 8 33
46 5 8 33
47 5 8 33
624 5 9 50
625 5 9 50
369 5 10 33
370 5 10 33
371 5 10 33
112 5 11 33
113 5 11 33
111 5 11 33
699 5 12 33
700 5 12 33
701 5 12 33
440 5 13 33
438 5 13 33
439 5 13 33
184 5 14 33
185 5 14 33
183 5 14 33
752 5 15 33
750 5 15 33
751 5 15 33
576 5 16 50
577 5 16 50
123 6 0 33
124 6 0 33
125 6 0 33
381 6 1 33
382 6 1 33
383 6 1 33
444 6 2 50
446 6 2 50
705 6 3 33
706 6 3 33
707 6 3 33
309 6 4 33
310 6 4 33
311 6 4 33
560 6 5 33
558 6 5 33
559 6 5 33
60 6 7 33
61 6 7 33
62 6 7 33
573 6 8 33
574 6 8 33
575 6 8 33
3 6 9 33
4 6 9 33
5 6 9 33
72 6 10 33
73 6 10 33
74 6 10 33
324 6 11 33
325 6 11 33
326 6 11 33
756 6 12 33
757 6 12 33
758 6 12 33
189 6 13 33
190 6 13 33
191 6 13 33
252 6 14 100
498 6 15 100
200 6 16 33
198 6 16 33
199 6 16 33
570 7 0 33
571 7 0 33
572 7 0 33
321 7 1 33
322 7 1 33
323 7 1 33
249 7 2 33
250 7 2 33
251 7 2 33
0 7 3 33
1 7 3 33
2 7 3 33
393 7 4 33
394 7 4 33
395 7 4 33
136 7 5 33
137 7 5 33
135 7 5 33
69 7 6 33
70 7 6 33
71 7 6 33
195 7 8 33
196 7 8 33
197 7 8 33
762 7 9 33
763 7 9 33
764 7 9 33
714 7 10 33
715 7 10 33
716 7 10 33
450 7 11 50
452 7 11 50
12 7 12 50
13 7 12 50
588 7 13 33
589 7 13 33
590 7 13 33
513 7 14 92
514 7 14 7
261 7 15 50
262 7 15 50
660 7 16 33
661 7 16 33
662 7 16 33
435 8 0 33
436 8 0 33
437 8 0 33
696 8 1 33
697 8 1 33
698 8 1 33
108 8 2 50
109 8 2 50
368 8 3 2
367 8 3 97
621 8 4 33
622 8 4 33
623 8 4 33
42 8 5 33
43 8 5 33
44 8 5 33
297 8 6 33
298 8 6 33
299 8 6 33
546 8 7 100
226 8 9 100
474 8 10 50
476 8 10 50
736 8 11 33
737 8 11 33
735 8 11 33
171 8 12 33
172 8 12 33
173 8 12 33
420 8 13 50
422 8 13 50
685 8 14 100
93 8 15 33
94 8 15 33
95 8 15 33
497 8 16 50
495 8 16 50
54 9 0 50
55 9 0 50
633 9 1 33
634 9 1 33
635 9 1 33
377 9 2 50
375 9 2 50
120 9 3 100
234 9 4 33
235 9 4 33
236 9 4 33
804 9 5 33
805 9 5 33
806 9 5 33
555 9 6 33
556 9 6 33
557 9 6 33
307 9 7 50
308 9 7 50
432 9 8 33
433 9 8 33
434 9 8 33
747 9 10 50
748 9 10 50
483 9 11 33
484 9 11 33
485 9 11 33
618 9 12 50
620 9 12 50
363 9 13 100
107 9 14 100
693 9 15 33
694 9 15 33
695 9 15 33
132 9 16 100
492 10 0 33
493 10 0 33
494 10 0 33
755 10 1 100
813 10 2 50
815 10 2 50
248 10 3 33
247 10 3 66
320 10 4 50
318 10 4 50
568 10 5 33
569 10 5 33
567 10 5 33
645 10 6 33
646 10 6 33
647 10 6 33
68 10 7 100
51 10 8 33
52 10 8 33
53 10 8 33
304 10 9 33
305 10 9 33
303 10 9 33
632 10 11 33
630 10 11 33
631 10 11 33
702 10 12 50
703 10 12 50
117 10 13 33
118 10 13 33
119 10 13 33
188 10 14 100
441 10 15 33
442 10 15 33
443 10 15 33
585 10 16 33
586 10 16 33
587 10 16 33
129 11 0 33
130 11 0 33
131 11 0 33
708 11 1 33
709 11 1 33
710 11 1 33
642 11 2 33
643 11 2 33
644 11 2 33
387 11 3 50
388 11 3 50
315 11 4 33
316 11 4 33
317 11 4 33
64 11 5 33
65 11 5 33
63 11 5 33
810 11 6 33
811 11 6 33
812 11 6 33
564 11 7 33
565 11 7 33
566 11 7 33
584 11 8 33
582 11 8 33
583 11 8 33
330 11 9 33
331 11 9 33
332 11 9 33
258 11 10 100
760 11 12 33
761 11 12 33
759 11 12 33
507 11 13 33
508 11 13 33
509 11 13 33
448 11 14 33
449 11 14 33
447 11 14 33
192 11 15 33
193 11 15 33
194 11 15 33
209 11 16 50
207 11 16 50
579 12 0 50
581 12 0 50
7 12 1 100
256 12 2 50
257 12 2 50
504 12 3 61
506 12 3 38
400 12 4 50
399 12 4 50
656 12 5 50
654 12 5 50
75 12 6 33
76 12 6 33
77 12 6 33
328 12 7 65
329 12 7 30
327 12 7 3
204 12 8 50
205 12 8 50
458 12 9 100
717 12 10 33
718 12 10 33
719 12 10 33
141 12 11 50
143 12 11 50
272 12 13 10
270 12 13 44
271 12 13 44
524 12 14 100
771 12 15 33
772 12 15 33
773 12 15 33
669 12 16 50
670 12 16 50
201 13 0 33
202 13 0 33
203 13 0 33
768 13 1 33
769 13 1 33
770 13 1 33
521 13 2 50
519 13 2 50
268 13 3 100
18 13 4 33
19 13 4 33
20 13 4 33
594 13 5 50
596 13 5 50
340 13 6 50
341 13 6 50
84 13 7 75
85 13 7 24
666 13 8 33
667 13 8 33
668 13 8 33
408 13 9 48
409 13 9 2
410 13 9 48
156 13 10 33
157 13 10 33
158 13 10 33
720 13 11 33
721 13 11 33
722 13 11 33
462 13 12 50
463 13 12 50
777 13 14 55
779 13 14 44
528 13 15 50
529 13 15 50
282 13 16 33
283 13 16 33
284 13 16 33
664 14 0 50
663 14 0 50
81 14 1 33
82 14 1 33
83 14 1 33
154 14 2 50
155 14 2 50
407 14 3 100
16 14 4 33
17 14 4 33
15 14 4 33
264 14 5 33
265 14 5 33
266 14 5 33
336 14 6 100
592 14 7 100
392 14 8 33
390 14 8 33
391 14 8 33
453 14 9 100
516 14 10 33
517 14 10 33
518 14 10 33
765 14 11 33
766 14 11 33
767 14 11 33
396 14 12 50
398 14 12 50
651 14 13 35
652 14 13 32
653 14 13 32
138 14 15 100
160 14 16 33
161 14 16 33
159 14 16 33
280 15 0 33
281 15 0 33
279 15 0 33
