tunnel_num s t prio weight
324 0 1 l 100
shutdown 0 1 h
shutdown 0 2 l
shutdown 0 3 l
176 0 4 l 100
shutdown 0 4 h
684 0 5 l 100
shutdown 0 5 h
1194 0 6 l 100
shutdown 0 6 h
42 0 7 l 100
42 0 7 h 100
705 0 8 l 100
shutdown 0 8 h
shutdown 0 9 l
shutdown 0 10 l
579 0 11 l 100
shutdown 0 11 h
1070 0 12 l 100
shutdown 0 12 h
1561 0 13 l 100
shutdown 0 13 h
shutdown 0 14 l
930 0 15 l 100
930 0 15 h 100
shutdown 0 16 l
699 1 0 l 100
696 1 0 h 100
1366 1 2 l 100
1364 1 2 h 100
835 1 3 l 63
837 1 3 l 6
839 1 3 l 29
835 1 3 h 100
1063 1 4 l 100
1063 1 4 h 100
570 1 5 l 100
570 1 5 h 100
57 1 6 l 100
54 1 6 h 100
1211 1 7 l 100
1206 1 7 h 100
1581 1 8 l 100
1579 1 8 h 100
1086 1 9 l 100
1086 1 9 h 100
588 1 10 l 50
591 1 10 l 50
588 1 10 h 100
81 1 11 l 100
80 1 11 h 100
341 1 12 l 100
336 1 12 h 100
1464 1 13 l 100
1465 1 13 h 100
942 1 14 l 100
942 1 14 h 100
448 1 15 l 100
445 1 15 h 100
546 1 16 l 100
546 1 16 h 100
1575 2 0 l 100
1574 2 0 h 100
442 2 1 l 100
440 2 1 h 100
1080 2 3 l 100
1080 2 3 h 100
1230 2 4 l 100
1230 2 4 h 100
72 2 5 l 100
72 2 5 h 96
74 2 5 h 3
208 2 6 l 100
205 2 6 h 100
723 2 7 l 100
shutdown 2 7 h
858 2 8 l 100
858 2 8 h 100
1380 2 9 l 100
1380 2 9 h 100
1489 2 10 l 100
1488 2 10 h 100
362 2 11 l 100
360 2 11 h 100
463 2 12 l 100
462 2 12 h 100
960 2 13 l 100
960 2 13 h 100
1106 2 14 l 100
1106 2 14 h 100
1602 2 15 l 100
1602 2 15 h 100
1452 2 16 l 100
1454 2 16 h 100
855 3 0 l 100
854 3 0 h 100
359 3 1 l 100
355 3 1 h 100
198 3 2 l 100
198 3 2 h 100
1224 3 4 l 100
1224 3 4 h 100
719 3 5 l 100
714 3 5 h 100
585 3 6 l 100
583 3 6 h 100
69 3 7 l 100
67 3 7 h 100
1566 3 8 l 100
1566 3 8 h 100
1074 3 9 l 100
1074 3 9 h 100
941 3 10 l 100
937 3 10 h 100
432 3 11 l 100
433 3 11 h 100
333 3 12 l 100
330 3 12 h 100
1461 3 13 l 100
1458 3 13 h 100
1359 3 14 l 100
1356 3 14 h 100
831 3 15 l 100
828 3 15 h 100
978 3 16 l 100
978 3 16 h 100
100 4 0 l 100
98 4 0 h 100
shutdown 4 1 l
shutdown 4 2 l
shutdown 4 3 l
shutdown 4 5 l
748 4 6 l 100
shutdown 4 6 h
shutdown 4 7 l
850 4 8 l 100
846 4 8 h 100
1374 4 9 l 100
1374 4 9 h 100
196 4 10 l 100
192 4 10 h 44
193 4 10 h 55
shutdown 4 11 l
shutdown 4 12 l
955 4 13 l 100
954 4 13 h 100
shutdown 4 14 l
351 4 15 l 100
348 4 15 h 100
252 4 16 l 100
252 4 16 h 100
975 5 0 l 100
972 5 0 h 100
486 5 1 l 100
486 5 1 h 100
1614 5 2 l 100
1616 5 2 h 100
shutdown 5 3 l
624 5 4 l 100
626 5 4 h 100
1281 5 6 l 100
1278 5 6 h 100
shutdown 5 7 l
93 5 8 l 50
95 5 8 l 50
92 5 8 h 100
1249 5 9 l 100
1249 5 9 h 100
739 5 10 l 100
739 5 10 h 100
225 5 11 l 100
222 5 11 h 100
1399 5 12 l 100
1399 5 12 h 100
877 5 13 l 100
878 5 13 h 100
366 5 14 l 100
366 5 14 h 100
1505 5 15 l 100
1500 5 15 h 100
1152 5 16 l 100
1152 5 16 h 100
246 6 0 l 100
246 6 0 h 100
767 6 1 l 100
762 6 1 h 100
892 6 2 l 50
893 6 2 l 50
890 6 2 h 100
1413 6 3 l 100
1411 6 3 h 100
619 6 4 l 100
620 6 4 h 100
1116 6 5 l 99
1119 6 5 l 0
1118 6 5 h 100
120 6 7 l 100
120 6 7 h 100
1150 6 8 l 100
1147 6 8 h 100
6 6 9 l 100
6 6 9 h 100
144 6 10 l 100
144 6 10 h 100
653 6 11 l 100
649 6 11 h 100
1516 6 12 l 100
1513 6 12 h 100
383 6 13 l 100
378 6 13 h 100
506 6 14 l 100
506 6 14 h 100
996 6 15 l 100
996 6 15 h 100
396 6 16 l 100
396 6 16 h 100
1140 7 0 l 100
1140 7 0 h 100
642 7 1 l 100
642 7 1 h 100
shutdown 7 2 l
1 7 3 l 100
shutdown 7 3 h
shutdown 7 4 l
270 7 5 l 100
270 7 5 h 100
138 7 6 l 100
138 7 6 h 100
391 7 8 l 100
391 7 8 h 100
shutdown 7 9 l
1428 7 10 l 100
1428 7 10 h 100
901 7 11 l 100
901 7 11 h 100
27 7 12 l 100
shutdown 7 12 h
1180 7 13 l 100
1176 7 13 h 100
1026 7 14 l 15
1030 7 14 l 84
1026 7 14 h 100
522 7 15 l 100
523 7 15 h 100
1323 7 16 l 100
1320 7 16 h 100
875 8 0 l 100
872 8 0 h 100
1393 8 1 l 100
1393 8 1 h 50
1394 8 1 h 50
216 8 2 l 93
220 8 2 l 6
216 8 2 h 100
732 8 3 l 100
732 8 3 h 100
1242 8 4 l 100
1243 8 4 h 100
87 8 5 l 100
84 8 5 h 100
599 8 6 l 100
595 8 6 h 100
shutdown 8 7 l
450 8 9 l 33
453 8 9 l 33
455 8 9 l 33
450 8 9 h 100
948 8 10 l 33
949 8 10 l 33
952 8 10 l 33
948 8 10 h 50
949 8 10 h 50
1474 8 11 l 50
1470 8 11 l 50
1470 8 11 h 100
344 8 12 l 100
344 8 12 h 100
845 8 13 l 100
842 8 13 h 100
1368 8 14 l 100
1368 8 14 h 100
188 8 15 l 100
186 8 15 h 100
993 8 16 l 33
994 8 16 l 33
990 8 16 l 33
990 8 16 h 100
112 9 0 l 100
shutdown 9 0 h
1269 9 1 l 100
1268 9 1 h 100
750 9 2 l 100
750 9 2 h 100
240 9 3 l 100
240 9 3 h 100
473 9 4 l 100
468 9 4 h 100
1611 9 5 l 100
1609 9 5 h 100
shutdown 9 6 l
shutdown 9 7 l
867 9 8 l 100
864 9 8 h 100
1494 9 10 l 100
1494 9 10 h 100
968 9 11 l 100
967 9 11 h 100
1236 9 12 l 100
1236 9 12 h 100
726 9 13 l 100
726 9 13 h 100
212 9 14 l 100
212 9 14 h 100
1391 9 15 l 100
1386 9 15 h 100
268 9 16 l 100
264 9 16 h 100
shutdown 10 0 l
1508 10 1 l 100
1508 10 1 h 100
1626 10 2 l 100
1626 10 2 h 100
492 10 3 l 100
shutdown 10 3 h
636 10 4 l 100
636 10 4 h 100
1134 10 5 l 100
1134 10 5 h 100
1294 10 6 l 100
1292 10 6 h 100
shutdown 10 7 l
102 10 8 l 100
102 10 8 h 100
608 10 9 l 100
608 10 9 h 100
1260 10 11 l 100
1260 10 11 h 100
1404 10 12 l 100
1405 10 12 h 100
234 10 13 l 44
235 10 13 l 55
234 10 13 h 100
shutdown 10 14 l
884 10 15 l 100
884 10 15 h 100
1172 10 16 l 50
1175 10 16 l 50
1170 10 16 h 100
262 11 0 l 100
shutdown 11 0 h
1417 11 1 l 33
1418 11 1 l 33
1420 11 1 l 33
1417 11 1 h 50
1418 11 1 h 50
1284 11 2 l 100
1284 11 2 h 100
779 11 3 l 100
774 11 3 h 100
631 11 4 l 100
631 11 4 h 100
129 11 5 l 100
126 11 5 h 100
1624 11 6 l 100
1621 11 6 h 100
1132 11 7 l 100
1129 11 7 h 100
1164 11 8 l 33
1165 11 8 l 33
1168 11 8 l 33
1164 11 8 h 50
1165 11 8 h 50
661 11 9 l 50
665 11 9 l 50
660 11 9 h 50
662 11 9 h 50
516 11 10 l 25
518 11 10 l 25
520 11 10 l 25
521 11 10 l 25
516 11 10 h 33
517 11 10 h 33
518 11 10 h 33
1521 11 12 l 100
1518 11 12 h 100
1017 11 13 l 100
1014 11 13 h 100
895 11 14 l 100
895 11 14 h 100
385 11 15 l 100
384 11 15 h 100
416 11 16 l 20
418 11 16 l 20
419 11 16 l 20
414 11 16 l 20
415 11 16 l 20
416 11 16 h 50
415 11 16 h 50
1162 12 0 l 100
shutdown 12 0 h
12 12 1 l 100
12 12 1 h 100
shutdown 12 2 l
1008 12 3 l 100
shutdown 12 3 h
799 12 4 l 100
799 12 4 h 100
1308 12 5 l 100
1308 12 5 h 100
shutdown 12 6 l
shutdown 12 7 l
408 12 8 l 100
408 12 8 h 50
409 12 8 h 50
915 12 9 l 100
912 12 9 h 100
1439 12 10 l 100
1435 12 10 h 100
282 12 11 l 100
282 12 11 h 26
283 12 11 h 73
540 12 13 l 100
540 12 13 h 100
1044 12 14 l 100
shutdown 12 14 h
1542 12 15 l 0
1546 12 15 l 99
1542 12 15 h 100
1338 12 16 l 100
1340 12 16 h 100
407 13 0 l 100
404 13 0 h 100
1536 13 1 l 100
1537 13 1 h 100
1039 13 2 l 100
1039 13 2 h 100
535 13 3 l 100
shutdown 13 3 h
36 13 4 l 100
shutdown 13 4 h
1188 13 5 l 100
1188 13 5 h 100
683 13 6 l 100
shutdown 13 6 h
shutdown 13 7 l
1334 13 8 l 100
1334 13 8 h 100
817 13 9 l 100
816 13 9 h 100
313 13 10 l 100
313 13 10 h 100
1442 13 11 l 100
1441 13 11 h 100
924 13 12 l 100
924 13 12 h 100
1554 13 14 l 100
1554 13 14 h 100
1056 13 15 l 100
1056 13 15 h 100
565 13 16 l 100
565 13 16 h 50
566 13 16 h 50
1328 14 0 l 100
1328 14 0 h 100
162 14 1 l 100
162 14 1 h 100
306 14 2 l 50
311 14 2 l 50
308 14 2 h 100
813 14 3 l 100
810 14 3 h 100
30 14 4 l 100
30 14 4 h 100
528 14 5 l 100
528 14 5 h 100
674 14 6 l 100
674 14 6 h 100
shutdown 14 7 l
784 14 8 l 100
780 14 8 h 100
907 14 9 l 100
907 14 9 h 100
1034 14 10 l 100
1034 14 10 h 100
1533 14 11 l 100
1531 14 11 h 100
792 14 12 l 100
792 14 12 h 100
1302 14 13 l 100
1303 14 13 h 100
276 14 15 l 100
276 14 15 h 100
318 14 16 l 100
318 14 16 h 50
319 14 16 h 50
558 15 0 l 100
558 15 0 h 100
49 15 1 l 50
52 15 1 l 50
49 15 1 h 100
1548 15 2 l 100
1548 15 2 h 100
1050 15 3 l 100
1050 15 3 h 100
180 15 4 l 100
180 15 4 h 100
1350 15 5 l 100
1350 15 5 h 100
1200 15 6 l 100
1200 15 6 h 100
690 15 7 l 100
690 15 7 h 100
1218 15 8 l 100
1218 15 8 h 100
804 15 9 l 100
804 15 9 h 100
666 15 10 l 96
668 15 10 l 3
667 15 10 h 100
156 15 11 l 100
157 15 11 h 100
918 15 12 l 100
918 15 12 h 100
420 15 13 l 100
420 15 13 h 100
300 15 14 l 100
300 15 14 h 100
757 15 16 l 50
758 15 16 l 50
757 15 16 h 50
758 15 16 h 50
1587 16 0 l 100
1585 16 0 h 100
288 16 1 l 50
291 16 1 l 50
290 16 1 h 100
1300 16 2 l 100
1298 16 2 h 100
118 16 3 l 100
114 16 3 h 100
557 16 4 l 100
552 16 4 h 100
294 16 5 l 100
294 16 5 h 100
21 16 6 l 100
18 16 6 h 100
1425 16 7 l 100
1422 16 7 h 100
1275 16 8 l 50
1276 16 8 l 50
1272 16 8 h 100
1006 16 9 l 100
1002 16 9 h 50
1004 16 9 h 50
1020 16 10 l 100
1020 16 10 h 50
1022 16 10 h 50
1477 16 11 l 100
1477 16 11 h 50
1478 16 11 h 50
1447 16 12 l 100
1446 16 12 h 100
483 16 13 l 100
481 16 13 h 100
474 16 14 l 49
478 16 14 l 50
475 16 14 h 100
1597 16 15 l 100
1597 16 15 h 100
