tunnel_num s t weight
162 0 1 100
shutdown 0 2
672 0 3 100
shutdown 0 4
shutdown 0 5
597 0 6 100
21 0 7 100
351 0 8 100
shutdown 0 9
shutdown 0 10
288 0 11 100
shutdown 0 12
shutdown 0 13
shutdown 0 14
465 0 15 100
shutdown 0 16
348 1 0 100
681 1 2 50
682 1 2 50
418 1 3 100
531 1 4 33
532 1 4 33
533 1 4 33
285 1 5 33
286 1 5 33
287 1 5 33
27 1 6 50
28 1 6 50
603 1 7 100
789 1 8 33
790 1 8 33
791 1 8 33
544 1 9 33
545 1 9 33
543 1 9 33
296 1 10 33
294 1 10 33
295 1 10 33
40 1 11 33
41 1 11 33
39 1 11 33
168 1 12 33
169 1 12 33
170 1 12 33
732 1 13 33
733 1 13 33
734 1 13 33
472 1 14 33
473 1 14 33
471 1 14 33
224 1 15 33
222 1 15 33
223 1 15 33
273 1 16 33
274 1 16 33
275 1 16 33
788 2 0 100
219 2 1 50
220 2 1 50
541 2 3 100
616 2 4 50
615 2 4 50
36 2 5 50
37 2 5 50
102 2 6 50
103 2 6 50
shutdown 2 7
429 2 8 50
430 2 8 50
690 2 9 33
691 2 9 33
692 2 9 33
744 2 10 33
745 2 10 33
746 2 10 33
180 2 11 50
181 2 11 50
233 2 12 50
231 2 12 50
480 2 13 50
481 2 13 50
553 2 14 100
801 2 15 33
802 2 15 33
803 2 15 33
726 2 16 50
727 2 16 50
426 3 0 100
177 3 1 100
101 3 2 100
613 3 4 100
358 3 5 100
291 3 6 100
33 3 7 100
784 3 8 100
538 3 9 100
469 3 10 100
217 3 11 100
166 3 12 100
730 3 13 100
679 3 14 100
414 3 15 100
490 3 16 100
49 4 0 100
300 4 1 33
301 4 1 33
302 4 1 33
549 4 2 50
550 4 2 50
shutdown 4 3
114 4 5 33
115 4 5 33
116 4 5 33
372 4 6 50
373 4 6 50
shutdown 4 7
424 4 8 33
425 4 8 33
423 4 8 33
689 4 9 50
687 4 9 50
96 4 10 33
97 4 10 33
98 4 10 33
354 4 11 50
356 4 11 50
228 4 12 50
230 4 12 50
477 4 13 50
478 4 13 50
741 4 14 47
742 4 14 47
743 4 14 4
176 4 15 33
174 4 15 33
175 4 15 33
128 4 16 50
126 4 16 50
486 5 0 100
243 5 1 33
244 5 1 33
245 5 1 33
807 5 2 100
562 5 3 100
312 5 4 33
313 5 4 33
314 5 4 33
640 5 6 33
641 5 6 33
639 5 6 33
shutdown 5 7
45 5 8 33
46 5 8 33
47 5 8 33
624 5 9 33
625 5 9 33
626 5 9 33
369 5 10 50
371 5 10 50
112 5 11 33
113 5 11 33
111 5 11 33
699 5 12 50
701 5 12 50
440 5 13 33
438 5 13 33
439 5 13 33
184 5 14 33
185 5 14 33
183 5 14 33
752 5 15 33
750 5 15 33
751 5 15 33
576 5 16 33
577 5 16 33
578 5 16 33
123 6 0 100
381 6 1 33
382 6 1 33
383 6 1 33
444 6 2 50
445 6 2 50
706 6 3 100
309 6 4 50
310 6 4 50
560 6 5 33
558 6 5 33
559 6 5 33
60 6 7 100
573 6 8 33
574 6 8 33
575 6 8 33
3 6 9 33
4 6 9 33
5 6 9 33
72 6 10 33
73 6 10 33
74 6 10 33
324 6 11 33
325 6 11 33
326 6 11 33
756 6 12 33
757 6 12 33
758 6 12 33
189 6 13 33
190 6 13 33
191 6 13 33
252 6 14 33
253 6 14 33
254 6 14 33
498 6 15 33
499 6 15 33
500 6 15 33
200 6 16 33
198 6 16 33
199 6 16 33
570 7 0 100
323 7 1 100
250 7 2 100
0 7 3 100
393 7 4 100
137 7 5 100
69 7 6 100
195 7 8 100
763 7 9 100
714 7 10 100
452 7 11 100
14 7 12 100
590 7 13 100
513 7 14 100
263 7 15 100
662 7 16 100
436 8 0 100
696 8 1 33
697 8 1 33
698 8 1 33
108 8 2 50
109 8 2 50
368 8 3 39
367 8 3 60
621 8 4 33
622 8 4 33
623 8 4 33
42 8 5 50
44 8 5 50
297 8 6 50
298 8 6 50
shutdown 8 7
225 8 9 33
226 8 9 33
227 8 9 33
474 8 10 33
475 8 10 33
476 8 10 33
736 8 11 33
737 8 11 33
735 8 11 33
171 8 12 50
173 8 12 50
420 8 13 33
421 8 13 33
422 8 13 33
685 8 14 50
686 8 14 50
93 8 15 33
94 8 15 33
95 8 15 33
497 8 16 50
495 8 16 50
56 9 0 100
633 9 1 33
634 9 1 33
635 9 1 33
376 9 2 33
377 9 2 33
375 9 2 33
121 9 3 100
234 9 4 50
235 9 4 50
804 9 5 33
805 9 5 33
806 9 5 33
556 9 6 100
shutdown 9 7
432 9 8 33
433 9 8 33
434 9 8 33
747 9 10 33
748 9 10 33
749 9 10 33
483 9 11 33
484 9 11 33
485 9 11 33
618 9 12 33
619 9 12 33
620 9 12 33
363 9 13 33
364 9 13 33
365 9 13 33
105 9 14 33
106 9 14 33
107 9 14 33
693 9 15 33
694 9 15 33
695 9 15 33
132 9 16 33
133 9 16 33
134 9 16 33
492 10 0 100
753 10 1 50
754 10 1 50
813 10 2 33
814 10 2 33
815 10 2 33
247 10 3 100
318 10 4 50
319 10 4 50
568 10 5 50
569 10 5 50
645 10 6 33
646 10 6 33
647 10 6 33
shutdown 10 7
51 10 8 33
52 10 8 33
53 10 8 33
304 10 9 33
305 10 9 33
303 10 9 33
632 10 11 33
630 10 11 33
631 10 11 33
704 10 12 33
702 10 12 33
703 10 12 33
117 10 13 50
119 10 13 50
188 10 14 100
441 10 15 33
442 10 15 33
443 10 15 33
585 10 16 33
586 10 16 33
587 10 16 33
130 11 0 100
708 11 1 33
709 11 1 33
710 11 1 33
642 11 2 50
643 11 2 50
388 11 3 100
315 11 4 33
316 11 4 33
317 11 4 33
64 11 5 33
65 11 5 33
63 11 5 33
810 11 6 33
811 11 6 33
812 11 6 33
566 11 7 100
584 11 8 33
582 11 8 33
583 11 8 33
330 11 9 33
331 11 9 33
332 11 9 33
258 11 10 33
259 11 10 33
260 11 10 33
760 11 12 33
761 11 12 33
759 11 12 33
507 11 13 33
508 11 13 33
509 11 13 33
448 11 14 33
449 11 14 33
447 11 14 33
192 11 15 33
193 11 15 33
194 11 15 33
208 11 16 33
209 11 16 33
207 11 16 33
shutdown 12 0
8 12 1 100
257 12 2 50
255 12 2 50
shutdown 12 3
399 12 4 100
655 12 5 100
75 12 6 33
76 12 6 33
77 12 6 33
shutdown 12 7
204 12 8 33
205 12 8 33
206 12 8 33
456 12 9 33
457 12 9 33
458 12 9 33
717 12 10 33
718 12 10 33
719 12 10 33
141 12 11 33
142 12 11 33
143 12 11 33
272 12 13 33
270 12 13 33
271 12 13 33
522 12 14 39
523 12 14 20
524 12 14 39
771 12 15 33
772 12 15 33
773 12 15 33
669 12 16 33
670 12 16 33
671 12 16 33
203 13 0 100
768 13 1 33
769 13 1 33
770 13 1 33
519 13 2 100
268 13 3 100
18 13 4 33
19 13 4 33
20 13 4 33
594 13 5 33
595 13 5 33
596 13 5 33
339 13 6 33
340 13 6 33
341 13 6 33
shutdown 13 7
666 13 8 33
667 13 8 33
668 13 8 33
408 13 9 33
409 13 9 33
410 13 9 33
156 13 10 33
157 13 10 33
158 13 10 33
720 13 11 50
721 13 11 50
464 13 12 32
462 13 12 33
463 13 12 33
777 13 14 51
779 13 14 48
528 13 15 33
529 13 15 33
530 13 15 33
282 13 16 33
283 13 16 33
284 13 16 33
663 14 0 100
81 14 1 33
82 14 1 33
83 14 1 33
153 14 2 50
154 14 2 50
406 14 3 100
16 14 4 33
17 14 4 33
15 14 4 33
264 14 5 33
265 14 5 33
266 14 5 33
336 14 6 33
337 14 6 33
338 14 6 33
shutdown 14 7
392 14 8 33
390 14 8 33
391 14 8 33
453 14 9 33
454 14 9 33
455 14 9 33
516 14 10 33
517 14 10 33
518 14 10 33
765 14 11 33
766 14 11 33
767 14 11 33
396 14 12 50
398 14 12 50
651 14 13 34
652 14 13 34
653 14 13 31
138 14 15 33
139 14 15 33
140 14 15 33
160 14 16 33
161 14 16 33
159 14 16 33
279 15 0 100
24 15 1 33
25 15 1 33
26 15 1 33
776 15 2 33
774 15 2 33
775 15 2 33
525 15 3 100
90 15 4 33
91 15 4 33
92 15 4 33
675 15 5 33
676 15 5 33
677 15 5 33
600 15 6 33
601 15 6 33
602 15 6 33
shutdown 15 7
609 15 8 33
610 15 8 33
611 15 8 33
402 15 9 33
403 15 9 33
404 15 9 33
333 15 10 33
334 15 10 33
335 15 10 33
80 15 11 33
78 15 11 33
79 15 11 33
459 15 12 33
460 15 12 33
461 15 12 33
210 15 13 33
211 15 13 33
212 15 13 33
152 15 14 33
150 15 14 33
151 15 14 33
378 15 16 33
379 15 16 33
380 15 16 33
792 16 0 100
144 16 1 33
145 16 1 33
146 16 1 33
648 16 2 50
649 16 2 50
58 16 3 100
276 16 4 50
277 16 4 50
147 16 5 33
148 16 5 33
149 16 5 33
9 16 6 50
10 16 6 50
713 16 7 100
636 16 8 33
637 16 8 33
638 16 8 33
501 16 9 33
502 16 9 33
503 16 9 33
512 16 10 33
510 16 10 33
511 16 10 33
738 16 11 33
739 16 11 33
740 16 11 33
723 16 12 33
724 16 12 33
725 16 12 33
240 16 13 33
241 16 13 33
242 16 13 33
237 16 14 50
239 16 14 50
800 16 15 33
798 16 15 33
799 16 15 33
