tunnel_num s t prio weight
throttle 0 1 l 0.400000
324 0 1 l 100
324 0 1 h 100
throttle 0 2 l 0.434116
823 0 2 l 100
824 0 2 h 100
throttle 0 3 l 0.400000
1346 0 3 l 63
1348 0 3 l 36
1346 0 3 h 100
throttle 0 4 l 0.400000
178 0 4 l 100
176 0 4 h 100
throttle 0 5 l 0.400000
684 0 5 l 100
684 0 5 h 100
throttle 0 6 l 0.500000
1194 0 6 l 100
1194 0 6 h 100
throttle 0 7 l 0.100820
42 0 7 l 100
42 0 7 h 100
throttle 0 8 l 0.400000
706 0 8 l 100
703 0 8 h 100
throttle 0 9 l 0.400000
1216 0 9 l 83
1213 0 9 l 16
1214 0 9 h 100
throttle 0 10 l 0.400000
64 0 10 l 100
62 0 10 h 100
throttle 0 11 l 0.400000
579 0 11 l 100
577 0 11 h 100
throttle 0 12 l 0.400000
1071 0 12 l 100
shutdown 0 12 h
throttle 0 13 l 0.400000
1562 0 13 l 100
1562 0 13 h 100
throttle 0 14 l 0.400000
428 0 14 l 100
428 0 14 h 100
throttle 0 15 l 0.400000
931 0 15 l 100
931 0 15 h 100
throttle 0 16 l 0.400000
1315 0 16 l 100
1315 0 16 h 100
throttle 1 0 l 0.300000
696 1 0 l 100
696 1 0 h 100
1362 1 2 l 100
1362 1 2 h 100
834 1 3 l 100
835 1 3 h 100
1062 1 4 l 100
1062 1 4 h 100
570 1 5 l 100
570 1 5 h 100
54 1 6 l 100
55 1 6 h 100
throttle 1 7 l 0.300000
1206 1 7 l 100
1207 1 7 h 100
1578 1 8 l 100
1579 1 8 h 100
1086 1 9 l 100
1086 1 9 h 100
588 1 10 l 100
588 1 10 h 100
78 1 11 l 100
79 1 11 h 100
337 1 12 l 100
338 1 12 h 100
1465 1 13 l 100
1465 1 13 h 100
942 1 14 l 100
942 1 14 h 100
444 1 15 l 100
444 1 15 h 100
546 1 16 l 100
546 1 16 h 100
throttle 2 0 l 0.300000
1573 2 0 l 100
1574 2 0 h 100
440 2 1 l 100
438 2 1 h 100
1080 2 3 l 100
1080 2 3 h 100
1230 2 4 l 100
1230 2 4 h 100
72 2 5 l 100
72 2 5 h 100
209 2 6 l 100
204 2 6 h 100
throttle 2 7 l 0.300000
720 2 7 l 100
721 2 7 h 100
858 2 8 l 100
858 2 8 h 100
1380 2 9 l 100
1380 2 9 h 100
1490 2 10 l 100
1488 2 10 h 100
362 2 11 l 100
360 2 11 h 100
462 2 12 l 100
463 2 12 h 100
960 2 13 l 100
960 2 13 h 100
1108 2 14 l 100
1104 2 14 h 100
1602 2 15 l 100
1602 2 15 h 100
1452 2 16 l 100
1452 2 16 h 100
throttle 3 0 l 0.300000
853 3 0 l 100
854 3 0 h 100
354 3 1 l 100
355 3 1 h 100
198 3 2 l 100
198 3 2 h 100
1224 3 4 l 100
1226 3 4 h 100
714 3 5 l 100
714 3 5 h 100
582 3 6 l 100
583 3 6 h 100
throttle 3 7 l 0.300000
71 3 7 l 100
67 3 7 h 100
1566 3 8 l 100
1568 3 8 h 100
1074 3 9 l 100
1075 3 9 h 100
936 3 10 l 100
937 3 10 h 100
432 3 11 l 100
433 3 11 h 100
333 3 12 l 100
331 3 12 h 100
1458 3 13 l 100
1458 3 13 h 100
1357 3 14 l 100
1356 3 14 h 100
828 3 15 l 100
829 3 15 h 100
978 3 16 l 100
979 3 16 h 100
throttle 4 0 l 0.300000
100 4 0 l 100
98 4 0 h 100
601 4 1 l 100
600 4 1 h 100
1098 4 2 l 77
1102 4 2 l 22
1098 4 2 h 100
1590 4 3 l 100
1590 4 3 h 100
229 4 5 l 100
230 4 5 h 100
745 4 6 l 100
744 4 6 h 100
throttle 4 7 l 0.392815
1255 4 7 l 100
1255 4 7 h 100
846 4 8 l 100
848 4 8 h 100
1375 4 9 l 100
1374 4 9 h 100
192 4 10 l 100
192 4 10 h 100
712 4 11 l 100
710 4 11 h 100
456 4 12 l 100
458 4 12 h 100
957 4 13 l 31
958 4 13 l 68
955 4 13 h 100
1482 4 14 l 48
1484 4 14 l 51
1482 4 14 h 100
348 4 15 l 100
348 4 15 h 100
254 4 16 l 100
252 4 16 h 100
throttle 5 0 l 0.300000
975 5 0 l 100
972 5 0 h 100
486 5 1 l 100
486 5 1 h 100
