scenario failed_links probability
0 no 0.9544300476721248
1 14-15,15-14 0.01143287820778947
2 1-16,16-1 0.008686279769303371
3 6-15,15-6 0.0031845214439597132
4 11-12,12-11 0.0025740167384706494
5 4-6,6-4 0.0022301213285807137
6 4-8,8-4 0.0019477709464624212
7 13-14,14-13 0.0019032217232764425
8 2-4,4-2 0.0017684322799718605
9 10-11,11-10 0.0016587010592240576
10 0-7,7-0 0.001623197499848155
11 0-3,3-0 0.0015676262252412824
12 13-16,16-13 0.0011369259807319939
13 12-13,13-12 0.0010821398017745018
14 4-5,5-4 0.0007681239350783063
15 6-7,7-6 0.0006516718729671129
16 5-14,14-5 0.0005216751474301023
17 10-16,16-10 0.0004365042313590857
18 9-16,16-9 0.00042727319677333546
19 1-5,5-1 0.00030397962665093726
20 1-6,6-1 0.00029571695369826886
21 2-3,3-2 0.0001898161893951424
22 2-9,9-2 0.00013130227939442578
23 8-11,11-8 0.00012410336384695536
24 1-16,16-1,14-15,15-14 0.00010405076718136467
25 6-15,15-6,14-15,15-14 3.8146583825274316e-05
26 11-12,12-11,14-15,15-14 3.0833501048634163e-05
27 1-16,16-1,6-15,15-6 2.8982369384793943e-05
28 4-6,6-4,14-15,15-14 2.6714064168918347e-05
29 1-16,16-1,11-12,12-11 2.3426158444779712e-05
30 4-8,8-4,14-15,15-14 2.333185974382234e-05
31 14-15,15-14,13-14,14-13 2.27982157704592e-05
32 2-4,4-2,14-15,15-14 2.1183606828970364e-05
33 1-16,16-1,4-6,6-4 2.0296362029663677e-05
34 10-11,11-10,14-15,15-14 1.9869164051878892e-05
35 0-7,7-0,14-15,15-14 1.9443875817002245e-05
36 0-3,3-0,14-15,15-14 1.87782014535624e-05
37 1-16,16-1,4-8,8-4 1.772668768000224e-05
38 1-16,16-1,13-14,14-13 1.732124464408529e-05
39 2-4,4-2,1-16,16-1 1.609452423922387e-05
40 1-16,16-1,10-11,11-10 1.5095859030424787e-05
41 1-16,16-1,0-7,7-0 1.4772740693677796e-05
42 1-16,16-1,0-3,3-0 1.4266985830291614e-05
43 14-15,15-14,13-16,16-13 1.3618951227157718e-05
44 12-13,13-12,14-15,15-14 1.2962681327630896e-05
45 1-16,16-1,13-16,16-13 1.0347177532512362e-05
46 1-16,16-1,12-13,13-12 9.848567834424375e-06
47 4-5,5-4,14-15,15-14 9.201164003226243e-06
48 6-15,15-6,11-12,12-11 8.588383738298802e-06
49 6-7,7-6,14-15,15-14 7.806213952763688e-06
50 6-15,15-6,4-6,6-4 7.440953070179234e-06
51 1-16,16-1,4-5,5-4 6.990705514628205e-06
52 6-15,15-6,4-8,8-4 6.498871616688777e-06
53 6-15,15-6,13-14,14-13 6.350230072037583e-06
54 5-14,14-5,14-15,15-14 6.249015775588691e-06
55 4-6,6-4,11-12,12-11 6.014447724679295e-06
