tunnel_num s t weight
1021 0 1 50
1023 0 1 50
500 0 2 50
501 0 2 50
1203 0 3 50
1205 0 3 50
680 0 4 50
682 0 4 50
153 0 5 50
154 0 5 50
888 0 6 50
886 0 6 50
355 0 7 50
357 0 7 50
770 0 8 50
771 0 8 50
245 0 9 33
246 0 9 33
247 0 9 33
960 0 10 33
958 0 10 33
959 0 10 33
443 0 11 33
444 0 11 33
445 0 11 33
1144 0 12 33
1145 0 12 33
1143 0 12 33
626 0 13 33
627 0 13 33
628 0 13 33
90 0 14 50
92 0 14 50
840 0 15 50
838 0 15 50
572 0 16 50
573 0 16 50
27 0 17 50
28 0 17 50
753 0 18 100
228 0 19 100
944 0 20 50
945 0 20 50
156 1 0 50
158 1 0 50
1209 1 2 50
1210 1 2 50
506 1 3 50
508 1 3 50
539 1 4 50
541 1 4 50
1060 1 5 50
1061 1 5 50
360 1 6 50
358 1 6 50
889 1 7 50
891 1 7 50
632 1 8 50
633 1 8 50
1149 1 9 33
1150 1 9 33
1151 1 9 33
449 1 10 33
450 1 10 33
451 1 10 33
964 1 11 33
965 1 11 33
966 1 11 33
1027 1 12 50
1028 1 12 50
304 1 13 33
305 1 13 33
306 1 13 33
845 1 14 100
96 1 15 50
98 1 15 50
434 1 16 50
435 1 16 50
949 1 17 50
950 1 17 50
237 1 18 100
762 1 19 100
827 1 20 100
1251 2 0 50
1252 2 0 50
720 2 1 50
719 2 1 50
544 2 3 33
542 2 3 33
543 2 3 33
892 2 4 50
893 2 4 50
361 2 5 33
362 2 5 33
363 2 5 33
686 2 6 50
687 2 6 50
162 2 7 50
163 2 7 50
512 2 8 33
513 2 8 33
514 2 8 33
1216 2 9 33
1217 2 9 33
1215 2 9 33
312 2 10 33
310 2 10 33
311 2 10 33
1033 2 11 33
1034 2 11 33
1035 2 11 33
104 2 12 33
102 2 12 33
103 2 12 33
850 2 13 33
851 2 13 33
852 2 13 33
1155 2 14 33
1156 2 14 33
1157 2 14 33
640 2 15 33
638 2 15 33
639 2 15 33
298 2 16 33
299 2 16 33
300 2 16 33
1018 2 17 33
1019 2 17 33
1020 2 17 33
88 2 18 50
89 2 18 50
835 2 19 33
836 2 19 33
837 2 19 33
1140 2 20 33
1141 2 20 33
1142 2 20 33
1089 3 0 50
1091 3 0 50
395 3 1 50
397 3 1 50
42 3 2 33
43 3 2 33
44 3 2 33
248 3 4 100
773 3 5 33
774 3 5 33
775 3 5 33
448 3 6 50
446 3 6 50
961 3 7 100
629 3 8 33
630 3 8 33
631 3 8 33
1146 3 9 33
1147 3 9 33
1148 3 9 33
841 3 10 33
842 3 10 33
843 3 10 33
93 3 11 33
94 3 11 33
95 3 11 33
1024 3 12 33
1025 3 12 33
1026 3 12 33
301 3 13 33
302 3 13 33
303 3 13 33
1208 3 14 50
1206 3 14 50
505 3 15 50
503 3 15 50
856 3 16 50
857 3 16 50
108 3 17 50
109 3 17 50
1039 3 18 100
316 3 19 50
317 3 19 50
1221 3 20 50
1223 3 20 50
969 4 0 50
967 4 0 50
452 4 1 50
454 4 1 50
1152 4 2 33
1153 4 2 33
1154 4 2 33
635 4 3 50
637 4 3 50
45 4 5 100
776 4 6 50
777 4 6 50
251 4 7 50
252 4 7 50
