tunnel_num s t weight
163 0 1 100
411 0 2 100
672 0 3 100
89 0 4 100
343 0 5 100
599 0 6 100
21 0 7 100
352 0 8 100
606 0 9 100
30 0 10 100
289 0 11 100
536 0 12 9
534 0 12 90
780 0 13 100
213 0 14 100
465 0 15 100
658 0 16 100
350 1 0 100
681 1 2 100
419 1 3 100
531 1 4 100
287 1 5 100
29 1 6 100
603 1 7 100
791 1 8 100
543 1 9 100
296 1 10 100
41 1 11 100
170 1 12 100
733 1 13 100
471 1 14 100
222 1 15 100
274 1 16 100
786 2 0 100
221 2 1 100
540 2 3 100
616 2 4 100
38 2 5 100
104 2 6 100
360 2 7 100
430 2 8 100
690 2 9 100
744 2 10 100
182 2 11 100
233 2 12 100
482 2 13 100
554 2 14 100
802 2 15 100
728 2 16 100
426 3 0 100
178 3 1 100
99 3 2 100
614 3 4 100
359 3 5 100
293 3 6 100
33 3 7 100
784 3 8 100
537 3 9 100
468 3 10 100
217 3 11 100
166 3 12 100
730 3 13 100
680 3 14 100
414 3 15 100
490 3 16 100
50 4 0 100
300 4 1 100
550 4 2 100
797 4 3 100
116 4 5 100
373 4 6 100
629 4 7 100
423 4 8 100
689 4 9 100
96 4 10 100
355 4 11 100
228 4 12 42
229 4 12 57
478 4 13 100
741 4 14 100
176 4 15 100
128 4 16 100
486 5 0 100
245 5 1 100
808 5 2 28
809 5 2 71
562 5 3 100
312 5 4 100
639 5 6 100
384 5 7 100
45 5 8 100
626 5 9 100
370 5 10 100
111 5 11 100
699 5 12 100
438 5 13 100
184 5 14 100
752 5 15 100
577 5 16 100
123 6 0 100
383 6 1 100
446 6 2 100
707 6 3 100
310 6 4 100
558 6 5 100
62 6 7 100
575 6 8 100
3 6 9 100
74 6 10 100
325 6 11 100
757 6 12 100
190 6 13 100
252 6 14 100
498 6 15 100
200 6 16 100
570 7 0 100
322 7 1 100
249 7 2 100
0 7 3 100
395 7 4 100
135 7 5 100
71 7 6 100
196 7 8 100
762 7 9 100
714 7 10 100
452 7 11 100
14 7 12 100
588 7 13 100
513 7 14 100
261 7 15 100
660 7 16 100
436 8 0 100
698 8 1 100
109 8 2 100
367 8 3 100
621 8 4 100
43 8 5 100
299 8 6 100
547 8 7 100
226 8 9 100
474 8 10 100
736 8 11 100
171 8 12 100
420 8 13 100
684 8 14 100
95 8 15 100
495 8 16 100
54 9 0 100
633 9 1 100
375 9 2 100
120 9 3 100
236 9 4 100
806 9 5 100
557 9 6 100
307 9 7 100
433 9 8 100
747 9 10 100
483 9 11 100
620 9 12 100
365 9 13 100
107 9 14 100
693 9 15 100
132 9 16 100
494 10 0 100
755 10 1 100
813 10 2 100
246 10 3 100
318 10 4 100
568 10 5 100
647 10 6 100
66 10 7 100
51 10 8 100
305 10 9 100
630 10 11 100
702 10 12 100
117 10 13 100
186 10 14 100
441 10 15 100
586 10 16 100
130 11 0 100
710 11 1 100
644 11 2 100
389 11 3 100
315 11 4 100
63 11 5 100
812 11 6 100
564 11 7 100
582 11 8 100
332 11 9 100
258 11 10 100
759 11 12 100
507 11 13 100
447 11 14 100
194 11 15 100
208 11 16 100
581 12 0 100
8 12 1 100
256 12 2 100
504 12 3 100
399 12 4 100
654 12 5 100
77 12 6 100
327 12 7 100
204 12 8 100
458 12 9 100
717 12 10 100
141 12 11 100
271 12 13 100
522 12 14 100
771 12 15 100
670 12 16 100
201 13 0 100
769 13 1 100
519 13 2 100
268 13 3 100
20 13 4 100
594 13 5 100
340 13 6 100
85 13 7 100
666 13 8 100
410 13 9 100
156 13 10 100
721 13 11 100
462 13 12 100
778 13 14 100
528 13 15 100
282 13 16 100
663 14 0 100
82 14 1 100
154 14 2 100
406 14 3 100
15 14 4 100
266 14 5 100
336 14 6 100
591 14 7 100
390 14 8 100
455 14 9 100
517 14 10 100
766 14 11 100
396 14 12 100
652 14 13 100
138 14 15 100
160 14 16 100
279 15 0 100
25 15 1 100
775 15 2 100
525 15 3 100
92 15 4 100
677 15 5 100
600 15 6 100
345 15 7 100
611 15 8 100
402 15 9 100
333 15 10 100
80 15 11 100
459 15 12 100
210 15 13 100
150 15 14 100
378 15 16 100
793 16 0 100
145 16 1 100
648 16 2 100
57 16 3 100
278 16 4 100
148 16 5 100
11 16 6 100
712 16 7 100
636 16 8 100
501 16 9 100
510 16 10 100
738 16 11 100
723 16 12 100
240 16 13 100
238 16 14 100
798 16 15 100
