tunnel_num s t edges
0 7 3 7-0,0-3
1 7 3 7-6,6-4,4-2,2-3
2 7 3 7-6,6-1,1-16,16-9,9-2,2-3
3 6 9 6-1,1-16,16-9
4 6 9 6-4,4-2,2-9
5 6 9 6-1,1-5,5-4,4-2,2-9
6 12 1 12-13,13-16,16-1
7 12 1 12-11,11-8,8-4,4-6,6-1
8 12 1 12-11,11-10,10-16,16-1
9 16 6 16-1,1-6
10 16 6 16-9,9-2,2-4,4-6
11 16 6 16-13,13-14,14-15,15-6
12 7 12 7-6,6-4,4-8,8-11,11-12
13 7 12 7-0,0-3,3-2,2-9,9-16,16-13,13-12
14 7 12 7-6,6-1,1-16,16-13,13-12
15 14 4 14-5,5-4
16 14 4 14-15,15-6,6-4
17 14 4 14-13,13-16,16-9,9-2,2-4
18 13 4 13-14,14-5,5-4
19 13 4 13-16,16-9,9-2,2-4
20 13 4 13-12,12-11,11-8,8-4
21 0 7 0-7
22 0 7 0-3,3-2,2-4,4-6,6-7
23 0 7 0-3,3-2,2-9,9-16,16-1,1-6,6-7
24 15 1 15-6,6-1
25 15 1 15-14,14-5,5-1
26 15 1 15-6,6-4,4-5,5-1
27 1 6 1-6
28 1 6 1-5,5-4,4-6
29 1 6 1-16,16-13,13-14,14-15,15-6
30 0 10 0-7,7-6,6-1,1-16,16-10
31 0 10 0-3,3-2,2-4,4-8,8-11,11-10
32 0 10 0-3,3-2,2-9,9-16,16-10
33 3 7 3-0,0-7
34 3 7 3-2,2-4,4-6,6-7
35 3 7 3-2,2-9,9-16,16-1,1-6,6-7
36 2 5 2-4,4-5
37 2 5 2-9,9-16,16-1,1-5
38 2 5 2-3,3-0,0-7,7-6,6-15,15-14,14-5
39 1 11 1-16,16-10,10-11
40 1 11 1-6,6-4,4-8,8-11
41 1 11 1-5,5-14,14-13,13-12,12-11
42 8 5 8-4,4-5
43 8 5 8-11,11-12,12-13,13-14,14-5
44 8 5 8-4,4-6,6-1,1-5
45 5 8 5-4,4-8
46 5 8 5-14,14-13,13-12,12-11,11-8
47 5 8 5-1,1-6,6-4,4-8
48 4 0 4-2,2-3,3-0
49 4 0 4-6,6-7,7-0
50 4 0 4-5,5-1,1-6,6-7,7-0
51 10 8 10-11,11-8
52 10 8 10-16,16-1,1-6,6-4,4-8
53 10 8 10-16,16-1,1-5,5-4,4-8
54 9 0 9-2,2-3,3-0
55 9 0 9-16,16-1,1-6,6-7,7-0
56 9 0 9-2,2-4,4-6,6-7,7-0
57 16 3 16-9,9-2,2-3
58 16 3 16-1,1-6,6-7,7-0,0-3
59 16 3 16-1,1-5,5-4,4-2,2-3
60 6 7 6-7
61 6 7 6-4,4-2,2-3,3-0,0-7
62 6 7 6-1,1-16,16-9,9-2,2-3,3-0,0-7
63 11 5 11-8,8-4,4-5
64 11 5 11-10,10-16,16-1,1-5
65 11 5 11-12,12-13,13-14,14-5
66 10 7 10-16,16-1,1-6,6-7
67 10 7 10-11,11-8,8-4,4-2,2-3,3-0,0-7
68 10 7 10-11,11-8,8-4,4-6,6-7
69 7 6 7-6
70 7 6 7-0,0-3,3-2,2-4,4-6
71 7 6 7-0,0-3,3-2,2-9,9-16,16-1,1-6
72 6 10 6-1,1-16,16-10
73 6 10 6-4,4-8,8-11,11-10
74 6 10 6-15,15-14,14-13,13-16,16-10
75 12 6 12-11,11-8,8-4,4-6
76 12 6 12-13,13-16,16-1,1-6
77 12 6 12-13,13-14,14-15,15-6
78 15 11 15-14,14-13,13-12,12-11
