tunnel_num s t edges
0 7 3 7-6,6-4,4-2,2-3
1 7 3 7-6,6-1,1-5,5-4,4-2,2-3
2 7 3 7-0,0-3
3 7 3 7-6,6-15,15-14,14-13,13-16,16-9,9-2,2-3
4 7 3 7-6,6-1,1-16,16-9,9-2,2-3
5 7 3 7-6,6-15,15-14,14-5,5-4,4-2,2-3
6 6 9 6-1,1-16,16-9
7 6 9 6-4,4-2,2-9
8 6 9 6-1,1-5,5-4,4-2,2-9
9 6 9 6-15,15-14,14-13,13-16,16-9
10 6 9 6-7,7-0,0-3,3-2,2-9
11 6 9 6-4,4-8,8-11,11-12,12-13,13-16,16-9
12 12 1 12-13,13-14,14-5,5-1
13 12 1 12-13,13-16,16-1
14 12 1 12-11,11-8,8-4,4-6,6-1
15 12 1 12-11,11-10,10-16,16-1
16 12 1 12-13,13-14,14-15,15-6,6-1
17 12 1 12-11,11-8,8-4,4-5,5-1
18 16 6 16-1,1-6
19 16 6 16-9,9-2,2-4,4-6
20 16 6 16-9,9-2,2-4,4-5,5-1,1-6
21 16 6 16-13,13-14,14-15,15-6
22 16 6 16-10,10-11,11-8,8-4,4-6
23 16 6 16-9,9-2,2-3,3-0,0-7,7-6
24 7 12 7-6,6-1,1-5,5-14,14-13,13-12
25 7 12 7-6,6-4,4-8,8-11,11-12
26 7 12 7-0,0-3,3-2,2-9,9-16,16-13,13-12
27 7 12 7-6,6-1,1-16,16-10,10-11,11-12
28 7 12 7-6,6-15,15-14,14-13,13-12
29 7 12 7-6,6-1,1-16,16-13,13-12
30 14 4 14-5,5-4
31 14 4 14-5,5-1,1-6,6-4
32 14 4 14-15,15-6,6-4
33 14 4 14-13,13-16,16-9,9-2,2-4
34 14 4 14-13,13-12,12-11,11-8,8-4
35 14 4 14-15,15-6,6-7,7-0,0-3,3-2,2-4
36 13 4 13-14,14-5,5-4
37 13 4 13-16,16-9,9-2,2-4
38 13 4 13-14,14-5,5-1,1-6,6-4
39 13 4 13-12,12-11,11-8,8-4
40 13 4 13-16,16-1,1-6,6-4
41 13 4 13-14,14-15,15-6,6-4
42 0 7 0-7
43 0 7 0-3,3-2,2-4,4-6,6-7
44 0 7 0-3,3-2,2-4,4-5,5-1,1-6,6-7
45 0 7 0-3,3-2,2-9,9-16,16-13,13-14,14-15,15-6,6-7
46 0 7 0-3,3-2,2-9,9-16,16-1,1-6,6-7
47 0 7 0-3,3-2,2-4,4-5,5-14,14-15,15-6,6-7
48 15 1 15-6,6-1
49 15 1 15-14,14-5,5-1
50 15 1 15-14,14-5,5-4,4-6,6-1
51 15 1 15-6,6-7,7-0,0-3,3-2,2-9,9-16,16-1
52 15 1 15-14,14-13,13-16,16-1
53 15 1 15-6,6-4,4-5,5-1
54 1 6 1-6
55 1 6 1-5,5-4,4-6
56 1 6 1-16,16-9,9-2,2-4,4-6
57 1 6 1-5,5-14,14-15,15-6
58 1 6 1-16,16-9,9-2,2-3,3-0,0-7,7-6
59 1 6 1-16,16-13,13-14,14-15,15-6
60 0 10 0-3,3-2,2-4,4-8,8-11,11-10
61 0 10 0-3,3-2,2-9,9-16,16-10
62 0 10 0-7,7-6,6-1,1-16,16-10
63 0 10 0-7,7-6,6-1,1-5,5-14,14-13,13-12,12-11,11-10
64 0 10 0-7,7-6,6-4,4-8,8-11,11-10
65 0 10 0-3,3-2,2-4,4-5,5-1,1-16,16-10
66 3 7 3-2,2-4,4-6,6-7
67 3 7 3-2,2-4,4-5,5-1,1-6,6-7
68 3 7 3-0,0-7
69 3 7 3-2,2-9,9-16,16-13,13-14,14-15,15-6,6-7
70 3 7 3-2,2-9,9-16,16-1,1-6,6-7
71 3 7 3-2,2-4,4-5,5-14,14-15,15-6,6-7
72 2 5 2-4,4-5
73 2 5 2-4,4-6,6-1,1-5
74 2 5 2-9,9-16,16-1,1-5
75 2 5 2-3,3-0,0-7,7-6,6-15,15-14,14-5
76 2 5 2-9,9-16,16-13,13-14,14-5
77 2 5 2-3,3-0,0-7,7-6,6-4,4-5
78 1 11 1-6,6-4,4-8,8-11
79 1 11 1-5,5-4,4-8,8-11
80 1 11 1-5,5-14,14-13,13-12,12-11
81 1 11 1-16,16-10,10-11
82 1 11 1-16,16-13,13-12,12-11
83 1 11 1-6,6-4,4-2,2-9,9-16,16-10,10-11
84 8 5 8-4,4-5
85 8 5 8-4,4-6,6-1,1-5
86 8 5 8-11,11-12,12-13,13-14,14-5
87 8 5 8-11,11-10,10-16,16-1,1-5
88 8 5 8-4,4-2,2-3,3-0,0-7,7-6,6-15,15-14,14-5
89 8 5 8-4,4-2,2-9,9-16,16-1,1-5
90 5 8 5-4,4-8
91 5 8 5-1,1-6,6-4,4-8
92 5 8 5-14,14-13,13-12,12-11,11-8
93 5 8 5-1,1-16,16-10,10-11,11-8
94 5 8 5-14,14-15,15-6,6-7,7-0,0-3,3-2,2-4,4-8
95 5 8 5-1,1-16,16-9,9-2,2-4,4-8
96 4 0 4-2,2-3,3-0
97 4 0 4-6,6-7,7-0
98 4 0 4-5,5-1,1-6,6-7,7-0
99 4 0 4-5,5-14,14-13,13-16,16-9,9-2,2-3,3-0
100 4 0 4-5,5-14,14-15,15-6,6-7,7-0
101 4 0 4-6,6-1,1-16,16-9,9-2,2-3,3-0
102 10 8 10-11,11-8
103 10 8 10-16,16-9,9-2,2-4,4-8
104 10 8 10-16,16-1,1-6,6-4,4-8
105 10 8 10-11,11-12,12-13,13-14,14-5,5-4,4-8
106 10 8 10-16,16-1,1-5,5-4,4-8
107 10 8 10-11,11-12,12-13,13-14,14-15,15-6,6-4,4-8
108 9 0 9-2,2-3,3-0
109 9 0 9-16,16-1,1-6,6-7,7-0
110 9 0 9-2,2-4,4-6,6-7,7-0
111 9 0 9-16,16-13,13-14,14-5,5-4,4-2,2-3,3-0
112 9 0 9-16,16-1,1-5,5-14,14-15,15-6,6-7,7-0
113 9 0 9-2,2-4,4-5,5-1,1-6,6-7,7-0
114 16 3 16-9,9-2,2-3
115 16 3 16-1,1-6,6-4,4-2,2-3
116 16 3 16-1,1-6,6-7,7-0,0-3
117 16 3 16-13,13-14,14-5,5-4,4-2,2-3
118 16 3 16-13,13-12,12-11,11-8,8-4,4-2,2-3
119 16 3 16-1,1-5,5-4,4-6,6-7,7-0,0-3
120 6 7 6-7
121 6 7 6-4,4-2,2-3,3-0,0-7
122 6 7 6-1,1-5,5-4,4-2,2-3,3-0,0-7
123 6 7 6-15,15-14,14-13,13-16,16-9,9-2,2-3,3-0,0-7
124 6 7 6-1,1-16,16-9,9-2,2-3,3-0,0-7
