s t demand
hl_0 hl_1 2
hl_0 hl_2 302
hl_0 hl_3 514
hl_0 hl_4 474
hl_0 hl_5 89
hl_0 hl_6 351
hl_0 hl_7 1053
hl_0 hl_8 105
hl_0 hl_9 6
hl_0 hl_10 63
hl_0 hl_11 396
hl_0 hl_12 373
hl_0 hl_13 132
hl_0 hl_14 78
hl_0 hl_15 19
hl_0 hl_16 132
hl_1 hl_0 10
hl_1 hl_2 5
hl_1 hl_3 16
hl_1 hl_4 4
hl_1 hl_5 19
hl_1 hl_6 1
hl_1 hl_7 50
hl_1 hl_8 1
hl_1 hl_9 15
hl_1 hl_10 30
hl_1 hl_11 14
hl_1 hl_12 79
hl_1 hl_13 42
hl_1 hl_14 8
hl_1 hl_15 1
hl_1 hl_16 17
hl_2 hl_0 55
hl_2 hl_1 11
hl_2 hl_3 110
hl_2 hl_4 31
hl_2 hl_5 58
hl_2 hl_6 58
hl_2 hl_7 107
hl_2 hl_8 18
hl_2 hl_9 6
hl_2 hl_10 74
hl_2 hl_11 101
hl_2 hl_12 77
hl_2 hl_13 118
hl_2 hl_14 259
hl_2 hl_15 0
hl_2 hl_16 49
hl_3 hl_0 13
hl_3 hl_1 17
hl_3 hl_2 7
hl_3 hl_4 53
hl_3 hl_5 21
hl_3 hl_6 12
hl_3 hl_7 93
hl_3 hl_8 0
hl_3 hl_9 35
hl_3 hl_10 14
hl_3 hl_11 28
hl_3 hl_12 32
hl_3 hl_13 0
hl_3 hl_14 32
hl_3 hl_15 1
hl_3 hl_16 0
hl_4 hl_0 67
hl_4 hl_1 55
hl_4 hl_2 492
hl_4 hl_3 165
hl_4 hl_5 173
hl_4 hl_6 310
hl_4 hl_7 362
hl_4 hl_8 47
hl_4 hl_9 462
hl_4 hl_10 309
hl_4 hl_11 229
hl_4 hl_12 356
hl_4 hl_13 189
hl_4 hl_14 1084
hl_4 hl_15 16
hl_4 hl_16 309
hl_5 hl_0 29
hl_5 hl_1 10
hl_5 hl_2 6
hl_5 hl_3 16
hl_5 hl_4 148
hl_5 hl_6 98
hl_5 hl_7 251
hl_5 hl_8 10
hl_5 hl_9 153
hl_5 hl_10 70
hl_5 hl_11 63
hl_5 hl_12 191
hl_5 hl_13 122
hl_5 hl_14 239
hl_5 hl_15 3
hl_5 hl_16 17
hl_6 hl_0 4
hl_6 hl_1 3
hl_6 hl_2 9
hl_6 hl_3 15
hl_6 hl_4 9
hl_6 hl_5 4
hl_6 hl_7 12
hl_6 hl_8 2
hl_6 hl_9 5
hl_6 hl_10 8
hl_6 hl_11 8
