loss,src,dst,percentile
1.66502775046,14,15,0.999
1.46913925205,6,3,0.999
1.33201776024,11,1,0.999
1.11001233347,1,5,0.999
0.756823915333,16,10,0.999
0.740005481522,11,2,0.999
0.740005481522,3,6,0.999
0.718710206548,1,6,0.999
0.577459985318,11,3,0.999
0.55500308335,3,2,0.999
0.482611027106,3,4,0.999
0.416251734382,1,3,0.999
0.288729158177,2,1,0.999
0.283003634571,1,14,0.999
0.266400710402,5,1,0.999
0.192857515169,14,10,0.999
0.171649779467,5,13,0.999
0.140902878565,14,13,0.999
0.134455093479,8,4,0.999
0.131794369122,5,4,0.999
0.117806742697,5,3,0.999
0.0848048258105,15,7,0.999
0.0809563054751,9,4,0.999
0.0799840512282,5,14,0.999
0.0741648657497,12,10,0.999
0.0695198813639,13,3,0.999
0.0637117753264,12,6,0.999
0.0578795236845,9,12,0.999
0.0573808485818,0,6,0.999
0.0543525866989,12,13,0.999
0.0508138610447,10,12,0.999
0.0427471299731,0,2,0.999
0.0417467788328,13,7,0.999
0.0202226761584,0,7,0.999
0.0196267229129,4,7,0.999
0.0,16,15,0.999
0.0,16,14,0.999
0.0,16,13,0.999
0.0,16,12,0.999
0.0,16,11,0.999
0.0,16,9,0.999
0.0,16,8,0.999
0.0,16,7,0.999
0.0,16,6,0.999
0.0,16,5,0.999
0.0,16,4,0.999
0.0,16,3,0.999
0.0,16,2,0.999
0.0,16,1,0.999
0.0,16,0,0.999
0.0,15,16,0.999
0.0,15,14,0.999
0.0,15,13,0.999
0.0,15,12,0.999
0.0,15,11,0.999
0.0,15,10,0.999
0.0,15,9,0.999
0.0,15,8,0.999
0.0,15,6,0.999
0.0,15,5,0.999
0.0,15,4,0.999
0.0,15,3,0.999
0.0,15,2,0.999
0.0,15,1,0.999
0.0,15,0,0.999
0.0,14,16,0.999
0.0,14,12,0.999
0.0,14,11,0.999
0.0,14,9,0.999
0.0,14,8,0.999
0.0,14,7,0.999
0.0,14,6,0.999
0.0,14,5,0.999
0.0,14,4,0.999
0.0,14,3,0.999
0.0,14,2,0.999
0.0,14,1,0.999
0.0,14,0,0.999
0.0,13,16,0.999
0.0,13,15,0.999
0.0,13,14,0.999
0.0,13,12,0.999
0.0,13,11,0.999
0.0,13,10,0.999
0.0,13,9,0.999
0.0,13,8,0.999
0.0,13,6,0.999
0.0,13,5,0.999
0.0,13,4,0.999
0.0,13,2,0.999
0.0,13,1,0.999
0.0,13,0,0.999
0.0,12,16,0.999
0.0,12,15,0.999
0.0,12,14,0.999
0.0,12,11,0.999
0.0,12,9,0.999
0.0,12,8,0.999
0.0,12,7,0.999
0.0,12,5,0.999
0.0,12,4,0.999
0.0,12,3,0.999
0.0,12,2,0.999
0.0,12,1,0.999
0.0,12,0,0.999
0.0,11,16,0.999
0.0,11,15,0.999
0.0,11,14,0.999
0.0,11,13,0.999
0.0,11,12,0.999
0.0,11,10,0.999
0.0,11,9,0.999
0.0,11,8,0.999
0.0,11,7,0.999
0.0,11,6,0.999
0.0,11,5,0.999
0.0,11,4,0.999
0.0,11,0,0.999
0.0,10,16,0.999
0.0,10,15,0.999
0.0,10,14,0.999
0.0,10,13,0.999
0.0,10,11,0.999
0.0,10,9,0.999
0.0,10,8,0.999
0.0,10,7,0.999
0.0,10,6,0.999
0.0,10,5,0.999
0.0,10,4,0.999
0.0,10,3,0.999
0.0,10,2,0.999
0.0,10,1,0.999
0.0,10,0,0.999
0.0,9,16,0.999
0.0,9,15,0.999
0.0,9,14,0.999
0.0,9,13,0.999
0.0,9,11,0.999
0.0,9,10,0.999
0.0,9,8,0.999
0.0,9,7,0.999
0.0,9,6,0.999
0.0,9,5,0.999
0.0,9,3,0.999
0.0,9,2,0.999
0.0,9,1,0.999
0.0,9,0,0.999
0.0,8,16,0.999
0.0,8,15,0.999
0.0,8,14,0.999
0.0,8,13,0.999
0.0,8,12,0.999
0.0,8,11,0.999
0.0,8,10,0.999
0.0,8,9,0.999
0.0,8,7,0.999
0.0,8,6,0.999
0.0,8,5,0.999
0.0,8,3,0.999
0.0,8,2,0.999
0.0,8,1,0.999
0.0,8,0,0.999
0.0,7,16,0.999
0.0,7,15,0.999
0.0,7,14,0.999
0.0,7,13,0.999
0.0,7,12,0.999
0.0,7,11,0.999
0.0,7,10,0.999
0.0,7,9,0.999
0.0,7,8,0.999
0.0,7,6,0.999
0.0,7,5,0.999
0.0,7,4,0.999
0.0,7,3,0.999
0.0,7,2,0.999
0.0,7,1,0.999
0.0,7,0,0.999
0.0,6,16,0.999
0.0,6,15,0.999
0.0,6,14,0.999
0.0,6,13,0.999
0.0,6,12,0.999
0.0,6,11,0.999
0.0,6,10,0.999
0.0,6,9,0.999
0.0,6,8,0.999
0.0,6,7,0.999
0.0,6,5,0.999
0.0,6,4,0.999
0.0,6,2,0.999
0.0,6,1,0.999
0.0,6,0,0.999
0.0,5,16,0.999
0.0,5,15,0.999
0.0,5,12,0.999
0.0,5,11,0.999
0.0,5,10,0.999
0.0,5,9,0.999
0.0,5,8,0.999
0.0,5,7,0.999
0.0,5,6,0.999
0.0,5,2,0.999
0.0,5,0,0.999
0.0,4,16,0.999
0.0,4,15,0.999
0.0,4,14,0.999
0.0,4,13,0.999
0.0,4,12,0.999
0.0,4,11,0.999
0.0,4,10,0.999
0.0,4,9,0.999
0.0,4,8,0.999
0.0,4,6,0.999
0.0,4,5,0.999
0.0,4,3,0.999
0.0,4,2,0.999
0.0,4,1,0.999
0.0,4,0,0.999
0.0,3,16,0.999
0.0,3,15,0.999
0.0,3,14,0.999
0.0,3,13,0.999
0.0,3,12,0.999
0.0,3,11,0.999
0.0,3,10,0.999
0.0,3,9,0.999
0.0,3,8,0.999
0.0,3,7,0.999
0.0,3,5,0.999
0.0,3,1,0.999
0.0,3,0,0.999
0.0,2,16,0.999
0.0,2,15,0.999
0.0,2,14,0.999
0.0,2,13,0.999
0.0,2,12,0.999
0.0,2,11,0.999
0.0,2,10,0.999
0.0,2,9,0.999
0.0,2,8,0.999
0.0,2,7,0.999
0.0,2,6,0.999
0.0,2,5,0.999
0.0,2,4,0.999
0.0,2,3,0.999
0.0,2,0,0.999
0.0,1,16,0.999
0.0,1,15,0.999
0.0,1,13,0.999
0.0,1,12,0.999
0.0,1,11,0.999
0.0,1,10,0.999
0.0,1,9,0.999
0.0,1,8,0.999
0.0,1,7,0.999
0.0,1,4,0.999
0.0,1,2,0.999
0.0,1,0,0.999
0.0,0,16,0.999
0.0,0,15,0.999
